Province,Violations,Statistics,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
New Brunswick,Total property crime violations [200] ,Actual incidents,30298,30322,29643,28963,29196,31422,32428,29017,28121,25633,25569,25076,24790,22963,24408,21556,19565,22460
New Brunswick,Total property crime violations [200] ,"Rate per 100,000 population",4036.77,4039.64,3949.67,3862.76,3896.28,4193.02,4327.37,3879.49,3771.55,3438.79,3423.56,3343.67,3291.97,3039.32,3225.01,2852.39,2592.84,2979.29
New Brunswick,Total property crime violations [200] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",836.07,864.69,756.44,787.7,620.01,660.25,657.17,575.47,550.76,520.79,551.95,579.31,572.31,472.44,487.05,455.36,395.02,401.61
New Brunswick,Total property crime violations [200] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",636.63,680.07,570.35,625.42,452.24,536.41,548.99,480.26,470.26,438.91,463.29,486.58,472.37,419.25,447.01,418.72,369.85,377.56
New Brunswick,Total property crime violations [200] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2698.22,2617.29,2552.05,2379.68,2293.24,1911.38,1762.88,1554.1,1387.78,1388.1,1518.88,1624.49,1727.66,1108.11,979.11,918.78,721.3,717.29
New Brunswick,Total other Criminal Code violations [300] ,Actual incidents,9536,8201,7266,7465,7937,8944,9641,8143,6183,5669,5823,5546,5321,5772,6135,5645,5432,5790
New Brunswick,Total other Criminal Code violations [300] ,"Rate per 100,000 population",1270.53,1092.58,968.13,995.6,1059.21,1193.51,1286.55,1088.69,829.26,760.52,779.67,739.51,706.6,763.97,810.61,746.97,719.87,768.04
New Brunswick,Total other Criminal Code violations [300] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",413.67,383.23,284.57,307.57,308.62,297.98,337.61,334.87,364.22,399.82,417.84,425.44,398.95,423.14,439.67,413.02,392.18,403.71
New Brunswick,Total other Criminal Code violations [300] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",314.17,329.47,246.88,265.56,265.35,268.62,312.87,300.56,331.59,357.94,376.81,389.89,372.31,388.56,418.4,392.89,372.43,389.17
New Brunswick,Total other Criminal Code violations [300] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1342.66,893.63,648.32,719.75,740.19,594.54,590.49,687.46,703.47,843.47,865.35,826.17,706.94,836.42,701.06,667.65,648.13,594.57
"Quebec (50,62)",Total violent Criminal Code violations [100]  (16),Actual incidents,63948,72339,77328,76525,77945,79827,80609,82620,85409,82905,84399,85301,84388,83267,84795,79882,77227,79093
"Quebec (50,62)",Total violent Criminal Code violations [100]  (16),"Rate per 100,000 population",876.48,987.79,1051.08,1034.63,1047.5,1066.37,1069.66,1089.7,1119.11,1077.7,1087.41,1087.54,1064.25,1039.84,1048.82,979.57,940.09,957.13
"Quebec (50,62)",Total violent Criminal Code violations [100]  (16),"Rate, total persons charged per 100,000 population aged 12 years and over (31)",425.73,470.22,478.23,537.27,529.94,530.84,512.92,520.42,520.14,467.15,459.68,485.8,476.47,450.16,465.43,432.88,424.33,432.73
"Quebec (50,62)",Total violent Criminal Code violations [100]  (16),"Rate, adult charged per 100,000 population aged 18 years and over (31)",408.46,452.75,462.22,525.11,516.86,523.24,501.93,510.19,508.58,453.23,446.9,468.6,459.22,436.86,449.46,416.11,411.79,419.58
"Quebec (50,62)",Total violent Criminal Code violations [100]  (16),"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",599.11,651.39,648.53,667.82,669.82,611.34,628.22,626.39,638.96,611.19,595.26,675.44,675.55,610.88,666.89,653.37,595.45,616.87
"Quebec (50,62)",Total property crime violations [200] ,Actual incidents,357619,328387,328061,315384,302085,302941,293566,286432,288616,271005,269841,264986,246588,228290,219123,190773,172363,166181
"Quebec (50,62)",Total property crime violations [200] ,"Rate per 100,000 population",4901.59,4484.13,4459.15,4264.06,4059.7,4046.85,3895.55,3777.83,3781.72,3522.87,3476.66,3378.43,3109.81,2850.9,2710.32,2339.41,2098.18,2011
"Quebec (50,62)",Total property crime violations [200] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",617.4,559.95,507.46,483.37,454.17,464.73,452.57,452.93,435.34,392.86,377.01,401.49,381.7,361.37,377.83,339.69,291.45,299.15
"Quebec (50,62)",Total property crime violations [200] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",542.39,505.1,461.47,436.9,409.55,430.15,430.52,432.17,420.09,376.51,359.98,377.1,360.4,345.47,357.46,324.95,282.7,288.83
"Quebec (50,62)",Total property crime violations [200] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1370.46,1128.85,996.41,982.07,931.48,831.03,684.01,667.96,592.16,562.02,557.76,670.37,627.45,553.52,634.8,533.48,410.83,443.59
"Quebec (50,62)",Total other Criminal Code violations [300] ,Actual incidents,31299,25663,27079,28834,30225,31819,32419,34300,39155,40234,40974,42330,42799,43005,46758,44184,37018,34585
"Quebec (50,62)",Total other Criminal Code violations [300] ,"Rate per 100,000 population",428.99,350.43,368.07,389.84,406.19,425.06,430.19,452.39,513.05,523.01,527.91,539.68,539.75,537.05,578.35,541.82,450.62,418.52
"Quebec (50,62)",Total other Criminal Code violations [300] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",250.63,225.55,221.27,238.95,245.42,266.79,267.04,279.67,310.4,319.32,294.39,321.78,326.67,305.02,343.64,322.77,327.07,327.01
"Quebec (50,62)",Total other Criminal Code violations [300] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",249.16,225.71,221.48,240.25,248.26,271.44,273.84,286.4,320.15,327.93,300.35,328.89,332.94,311.63,346.62,327.38,332.96,333.31
